노선,요일구분,09시~18시,18시~막차,첫차~09시,09시~18시 지연횟수,18시~막차 지연횟수,첫차~09시 지연횟수
1호선,평일,77.1,125.3,93.6,52.0,29.0,420.0
2호선,평일,154.8,144.4,153.6,73.0,41.0,411.0
3호선,평일,109.1,122.9,144.4,35.0,0.0,664.0
4호선,평일,128.4,146.4,166.2,32.0,13.0,683.0
5호선,평일,132.3,128.0,130.9,48.0,8.0,127.0
6호선,평일,90.3,122.8,111.6,7.0,0.0,21.0
7호선,평일,138.4,157.0,147.0,135.0,26.0,202.0
8호선,평일,119.0,137.8,147.9,9.0,0.0,23.0
1호선,토요일,66.5,64.9,43.8,11.0,6.0,4.0
2호선,토요일,96.0,92.1,75.7,14.0,12.0,2.0
3호선,토요일,99.5,80.3,54.3,1.0,0.0,25.0
4호선,토요일,101.4,104.6,70.6,0.0,0.0,22.0
5호선,토요일,100.5,143.7,66.8,2.0,0.0,0.0
6호선,토요일,131.8,190.2,49.4,0.0,1.0,0.0
7호선,토요일,93.3,93.6,84.9,11.0,0.0,3.0
8호선,토요일,94.8,84.1,64.4,0.0,0.0,0.0
1호선,일요일,50.9,46.7,37.9,4.0,2.0,0.0
2호선,일요일,67.3,64.1,42.0,5.0,0.0,2.0
3호선,일요일,59.4,47.9,32.3,0.0,0.0,20.0
4호선,일요일,91.9,136.5,47.5,4.0,4.0,24.0
5호선,일요일,66.1,76.0,41.5,6.0,5.0,1.0
6호선,일요일,97.1,138.1,55.9,0.0,0.0,0.0
7호선,일요일,66.4,62.4,47.0,7.0,6.0,6.0
8호선,일요일,70.7,62.8,40.1,2.0,0.0,0.0
